a52dec 0.7.4-9
geoip 1.6.11-1
geoip-database 20180306-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.17.0-1
gjs 1:1.52.0-1
gksu 2.0.2-6
glances 2.11.1-2
glew 2.1.0-1
glib-networking 2.56.0-1
glib-perl 1.326-1
glib2 2.56.0+16+gecabc6e21-1
glib2-docs 2.56.0+16+gecabc6e21-1
glibc 2.26-11
glibmm 2.56.0-1
glu 9.0.0-4
glxinfo 8.3.0-1
gmime3 3.2.0-1
gmp 6.1.2-1
gmrun 0.9.2-7
gnome-autoar 0.2.3-1
gnome-bluetooth 3.28.0-1
gnome-desktop 1:3.28.0-1
gnome-disk-utility 3.28.0-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.0.2-1
gnome-maps 3.28.0-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-online-accounts 3.27.92+3+gdde33649-1
gnome-software 3.28.0-1
gnome-themes-extra 3.28-1
gnu-netcat 0.7.1-6
gnupg 2.2.5-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.0-1
google-talkplugin 5.41.3.0-1
gparted 0.31.0-1
gpgme 1.10.0-2
gpick 0.2.6rc1-2
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.0-1
graphicsmagick 1.3.28-2
graphite 1:1.3.11-1
graphviz 2.40.1-10
grep 3.1-1
groff 1.22.3-7
grsync 1.2.6-3
grub 2:2.02-5
grub-customizer 5.0.6-7
grub-themes-solarized-dark-materialized 1.0-2
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsimplecal 2.1-2
gsl 2.4-1
gsm 1.0.17-1
gspell 1.8.0-1
gssproxy 0.8.0-1
gst-libav 1.14.0-1
gst-plugins-bad 1.14.0-2
gst-plugins-base 1.14.0-1
gst-plugins-base-libs 1.14.0-1
gst-plugins-good 1.14.0-1
gst-plugins-ugly 1.14.0-1
gst-python 1.14.0-1
gstreamer 1.14.0-1
gtk-doc 1.28-1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-3
gtk-theme-numix-solarized 20170810-1
gtk-update-icon-cache 3.22.29+60+ge42d8598ca-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.32-1
gtk2-perl 1.24992-1
gtk3 3.22.29+60+ge42d8598ca-1
gtkglext 1.2.0-10
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.7-1
gtkspell 2.0.16-7
gtkspell3 3.0.9-3
gtop 0.1.4-1
gts 0.7.6-3
gucharmap 10.0.4+3+gf63a9d95-1
gufw 18.04.0-1
guile 2.2.3-1
gutenprint 5.2.13-1
guvcview 2.0.5-3
gvfs 1.36.0-2
gvfs-afc 1.36.0-2
gvfs-gphoto2 1.36.0-2
gvfs-mtp 1.36.0-2
gvfs-nfs 1.36.0-2
gvfs-smb 1.36.0-2
gzip 1.9-1
halo-icons-git 1.8-1
hardcode-fixer-git 1:r523.65c424d-1
hardinfo 0.5.1-6
harfbuzz 1.7.6-2
harfbuzz-icu 1.7.6-2
haveged 1.9.1-4
hddtemp 0.3.beta15.52-2
hdparm 9.56-1
hexchat 2.14.1-2
hicolor-icon-theme 0.17-1
hplip 3.18.3-2
hspell 1.4-1
htop 2.1.0-2
http-parser 2.8.0-1
httpie 0.9.9-1
hunspell 1.6.2-1
hunspell-en 2017.01.22-2
hunspell-en_GB 2017.01.22-2
hunspell-en_US 2017.01.22-2
hwids 20171003-1
hyphen 2.8.8-1
hyphen-en 2.8.8-1
i3-gaps-next-git 4.15.0.1.66.g834710e6-1
i3blocks 1.4-6
i3status 2.11-3
iana-etc 20180221-1
icu 61.1-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
inkscape 0.92.3-2
intel-tbb 2018_20171205-1
intel-ucode 20180312-1
intltool 0.51.0-3
inxi 2.9.10-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
ipython 6.2.1-2
irssi 1.1.1-1
iso-codes 3.76-1
itstool 1:2.0.2+5+g676f3f7-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
jq 1.5-6
js 24.2.0-4
js52 52.7.0-1
jshon 20131105-1
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
jupyter 4.1.0-6
jupyter-nbconvert 5.3.1-1
jupyter-nbformat 4.4.0-1
jupyter-notebook 5.3.0-3
jupyter-widgetsnbextension 1:2.0.0-1
jupyter_console 5.2.0-1
kbd 2.0.4-1
kcoreaddons 5.44.0-1
keepassxc 2.3.1-1
keyutils 1.5.10-1
ki18n 5.44.0-1
kmod 24-1
kpmcore 3.3.0-1
krb5 1.16-1
kwidgetsaddons 5.44.0-1
ladspa 1.13-6
lame 3.100-1
lapack 3.8.0-1
laptop-detect 0.13.8-1
lbzip2 2.5-3
lcms 1.19-7
lcms2 2.9-1
ldb 1.3.1-1
ldns 1.7.0-4
lensfun 0.3.2-6
less 530-1
libabw 0.1.2-1
libaio 0.3.110-1
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libblockdev 2.16-1
libbluray 1.0.2-1
libbs2b 3.1.0-6
libbsd 0.8.7-1
libburn 1.4.8-1
libbytesize 1.1-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-3
libchamplain 0.12.16-1
libcloudproviders 0.2.5+9+g93dc5ea-1
libcmis 0.5.1-8
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-1
libcryptui 3.12.2+24+gd5e5bc5-1
libcups 2.2.7-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdc1394 2.2.5-1
libdca 0.0.5-5
libdmx 1.1.3-1
libdrm 2.4.91-3
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdcss 1.4.1-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-2
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.5.0-1
libepubgen 0.1.0-1
libetonyek 0.1.7-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfdk-aac 0.1.6-1
libffi 3.2.1-2
libfilezilla 0.12.1-1
libfm 1.2.5-2
libfm-extra 1.2.5-2
libfm-gtk2 1.2.5-2
libfontenc 1.1.3-1
libfreehand 0.1.2-1
libgcrypt 1.8.2-1
libgdata 0.17.9-1
libgee 0.20.1-1
libgexiv2 0.10.8-1
libgksu 2.0.12-8
libglade 2.6.4-5
libglvnd 1.0.0-1
libgme 0.6.1-1
libgnome-keyring 3.12.0-2
libgnomekbd 3.26.0+5+g1c1b585-1
libgpg-error 1.28-1
libgphoto2 2.5.16-1
libgsf 1.14.42-1
libgtop 2.38.0+13+gcab8791f-1
libgudev 232-1
libgusb 0.2.11-1
libgweather 3.28.1-1
libgxps 0.3.0-1
libibus 1.5.17-1
libical 3.0.3-2
libice 1.0.9-2
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0+66+g5a85432-1
libinput 1.10.3-1
libisofs 1.4.8-1
libixion 0.13.0-1
libjpeg-turbo 1.5.3-1
libkate 0.4.1-5
libkeybinder3 0.3.2-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.45-4
liblouis 3.4.0-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.28-1
libmagick6 6.9.9.40-1
libmatroska 1.4.8-1
libmbim 1.16.0-1
libmm-glib 1.8rc2+1+g7e949283-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-3
libmpeg2 0.5.1-5
libmspub 0.1.4-2
libmtp 1.1.15-1
libmwaw 0.3.13-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnfs 2.0.0-1
libnftnl 1.0.9-1
libnghttp2 1.31.0-1
libnice 0.1.14+70+gfb2f1f7-1
libnl 3.4.0-1
libnm 1.10.6-3
libnm-glib 1.10.6-3
libnotify 0.7.7-1
liboauth 1.0.3+9+g11e9461-2
libodfgen 0.1.6-1
libofa 0.9.3-7
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libopenraw 0.1.2-1
liborcus 0.13.4-1
libpackagekit-glib 1.1.9-1
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libphonenumber 8.8.9-2
libpipeline 1.5.0-1
libplacebo 0.4.0-1
