a52dec 0.7.4-9
python2 2.7.14-2
python2-appdirs 1.4.3-1
python2-apsw 3.22.0-1
python2-beautifulsoup4 4.6.0-1
python2-cairo 1.16.3-1
python2-chardet 3.0.4-1
python2-configobj 5.0.6-3
python2-cssselect 1.0.3-1
python2-cssutils 1.0.2-1
python2-dateutil 2.7.2-1
python2-dbus 1.2.6-1
python2-dnspython 1.15.0-2
python2-dukpy 0.3-2
python2-enum34 1.1.6-1
python2-gobject 3.28.2-1
python2-gobject2 2.28.7-1
python2-html5-parser 0.4.4-1
python2-html5lib 1.0.1-2
python2-httplib2 0.10.3-1
python2-idna 2.6-1
python2-lxml 4.2.1-1
python2-mechanize 1:0.3.6-1
python2-msgpack 0.5.6-1
python2-netifaces 0.10.6-1
python2-packaging 16.8-2
python2-pillow 5.0.0-1
python2-psutil 5.4.3-1
python2-pycurl 7.43.0.1-1
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pyparted 3.11.1-1
python2-pyqt5 5.10.1-2
python2-regex 2018.02.21-1
python2-requests 2.18.4-1
python2-setproctitle 1.1.10-2
python2-setuptools 1:39.0.1-1
python2-sip 4.19.8-1
python2-six 1.11.0-1
python2-unrardll 0.1.3-3
python2-urllib3 1.22-1
python2-webencodings 0.5.1-1
python2-xapp 1.0.1-2
python2-xdg 0.25-4
qmltermwidget 0.1.0-2
qpdf 8.0.2-1
qrencode 4.0.0-1
qt4 4.8.7-24
qt5-base 5.10.1-7
qt5-declarative 5.10.1-3
qt5-graphicaleffects 5.10.1-1
qt5-location 5.10.1-2
qt5-quickcontrols 5.10.1-1
qt5-script 5.10.1-1
qt5-sensors 5.10.1-1
qt5-styleplugins 5.0.0.20170311-5
qt5-svg 5.10.1-1
qt5-tools 5.10.1-1
qt5-webchannel 5.10.1-1
qt5-webkit 5.212.0alpha2-14
qt5-x11extras 5.10.1-1
qt5-xmlpatterns 5.10.1-1
qt5ct 0.35-1
ranger 1.9.1-1
raptor 2.0.15-8
rasqal 1:0.9.33-2
re2 20180401-1
readline 7.0.003-1
redland 1:1.0.17-4
redshift 1.11-5
refind-efi 0.11.2-1
reflector 2018-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
ripgrep 0.8.1-1
ristretto 0.8.2-2
rofi 1.5.1-1
rp-pppoe 3.12-1
rpcbind 0.2.4-4
rrdtool 1.7.0-4
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.4-1
rxvt-unicode-better-wheel-scrolling-unicode3 9.22-4
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.10-1
samba 4.7.6-1
sane 1.0.27-1
sardi-icons 9.6-4
sassc 3.4.2-1
sbc 1.3-1
schroedinger 1.0.11-3
screenkey 0.9-1
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.8-7
sdl_image 1.2.12-4
sdparm 1.10-1
sed 4.4-1
semver 5.5.0-1
sg3_utils 1.42-1
shadow 4.5-4
shared-mime-info 1.9-1
shotwell 2:0.28.0-1
simple-scan 3.28.0-1
simplescreenrecorder 0.3.10-1
sip 4.19.8-1
skypeforlinux-stable-bin 8.18.0.6-1
slang 2.3.2-1
slim 1.3.6-7
smartmontools 6.6-1
smbclient 4.7.6-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-14
spandsp 0.0.6-1
speedtest-cli 2.0.0-1
speedtouch 1.3.1-5
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.23.0-1
squashfs-tools 4.3-4
srt 1.2.3-1
sshfs 3.3.1-1
startup-notification 0.12-5
sudo 1.8.22-1
surfn-icons-git 9.6-4
swh-plugins 0.4.17-2
sysfsutils 2.1.0-9
syslinux 6.03-8
system-config-printer 1.5.11-2
systemd 238.51-1
systemd-sysvcompat 238.51-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.12-1
tar 1.30-1
tcl 8.6.8-2
tcpdump 4.9.2-1
tdb 1.3.15-1
telepathy-glib 0.24.1-1
temps 0.7.0-1
terminus-font 4.46-1
termite 13-2
termite-terminfo 13-2
testdisk 7.0-4
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
thunar 1.6.15-1
thunar-archive-plugin 0.3.1-7
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
timeshift 18.2-1
tint2 16.2-1
tlp 1.1-1
tmux 2.6-2
tolua++ 1.0.93-2
tor 0.3.2.10-1
tor-browser 7.5.3-1
totem-plparser 3.26.0+11+g0091a56-1
transmission-cli 2.93-1
transmission-gtk 2.93-1
tslib 1.15-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-2
ttf-droid 20121017-5
ttf-font-awesome 5.0.9-1
ttf-inconsolata 1:2.0.0.1-3
ttf-liberation 2.00.1-7
ttf-ms-fonts 2.0-10
ttf-roboto 2.138-1
ttf-ubuntu-font-family 0.83-3
tumbler 0.2.1-1
twolame 0.3.13-8
txt2man 1.6.0-1
tzdata 2018d-1
udiskie 1.7.3-1
udisks2 2.7.6-1
ufw 0.35-3
unace 2.5-9
unrar 1:5.6.2-1
unzip 6.0-12
upower 0.99.7-1
urxvt-perls 2.2-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.32-2
v4l-utils 1.14.2-1
vala 0.40.2-1
variety 0.6.6-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.1542-2
vim-airline 0.9-1
vim-airline-themes r1279.4b7f77e-1
vim-bufexplorer 7.4.19-1
vim-colorsamplerpack 2012.10.28-4
vim-go 1.17-1
vim-pathogen 2.4-1
vim-ranger 2.0-4
vim-runtime 8.0.1542-2
vim-spell-de 20180224-1
vim-spell-en 20180224-1
virtualbox 5.2.8-1
virtualbox-ext-oracle 5.2.8-1
virtualbox-guest-iso 5.2.8-1
virtualbox-host-modules-arch 5.2.8-11
visual-studio-code-bin 1.22.1-1
vivaldi 1.14.1077.60-2
vivaldi-codecs-ffmpeg-extra-bin 64.0.3282.167-1
vlc 3.0.1-2
vnstat 1.18-1
volume_key 0.3.9-5
volumeicon 0.5.1-1
vpnc 0.5.3.svn550-2
vte-common 0.52.0-1
vte3-ng 0.50.2.a-1
vulkan-icd-loader 1.1.70.0-3
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.20.0-2
webrtc-audio-processing 0.3-2
wget 1.19.4-3
which 2.21-2
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wireshark-cli 2.5.1-1
wireshark-common 2.5.1-1
wireshark-gtk 2.5.1-1
woff2 1.0.2-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
wttr 1.2.1-2
wvdial 1.61-6
wvstreams 4.6.1-14
wxgtk-common 3.0.4-1
wxgtk3 3.0.4-1
x265 2.7-1
xapps 1.0.4-2
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xcursor-breeze 1:5.10.5-1
xcursor-simpleandsoft 0.2-7
xcursor-vanilla-dmz-aa 0.4.5-1
xdg-desktop-portal-gtk 0.10-1
xdg-user-dirs 0.17-1
xdg-utils 1.1.2-2
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.27.0-2
xf86-input-mouse 1.9.2-3
xf86-input-vmmouse 13.1.0-3
xf86-input-void 1.4.1-3
xf86-video-amdgpu 18.0.1-1
xf86-video-ati 1:18.0.1-1
xf86-video-dummy 0.3.8-2
xf86-video-fbdev 0.4.4+12+ge0bce0d-1
xf86-video-intel 1:2.99.917+823+gd9bf46e4-1
xf86-video-nouveau 1.0.15-2
xf86-video-openchrome 0.6.0-2
xf86-video-sisusb 0.9.7-1
xf86-video-vesa 2.4.0-1
xf86-video-vmware 13.2.1-3
xf86-video-voodoo 1.2.5-9
xfburn 0.5.5-1
xfce4-appfinder 4.12.0-4
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.2-2
xfce4-cpufreq-plugin 1.1.3-1
xfce4-cpugraph-plugin 1.0.5-4
xfce4-datetime-plugin 0.7.0-1
xfce4-dict 0.8.0-1
xfce4-diskperf-plugin 2.6.1-1
xfce4-eyes-plugin 4.5.0-1
xfce4-fsguard-plugin 1.1.0-1
xfce4-genmon-plugin 4.0.1-1
xfce4-mailwatch-plugin 1.2.0-7
xfce4-mount-plugin 1.1.2-1
xfce4-mpc-plugin 0.5.0-1
xfce4-netload-plugin 1.3.1-1
xfce4-notes-plugin 1.8.1-2
xfce4-notifyd 0.4.2-1
xfce4-panel 4.12.2-1
xfce4-power-manager 1.6.1-1
xfce4-pulseaudio-plugin 0.4.0-1
xfce4-screenshooter 1.9.1-1
xfce4-sensors-plugin 1.2.6-3
xfce4-session 4.12.1-8
xfce4-settings 4.12.3-1
xfce4-smartbookmark-plugin 0.5.0-1
xfce4-systemload-plugin 1.2.1-1
xfce4-taskmanager 1.2.0-1
xfce4-terminal 0.8.7.3-1
xfce4-time-out-plugin 1.0.2-2
xfce4-timer-plugin 1.7.0-1
xfce4-verve-plugin 1.1.0-1
xfce4-wavelan-plugin 0.6.0-1
xfce4-weather-plugin 0.8.10-1
xfce4-whiskermenu-plugin 1.7.5-1
xfce4-xkb-plugin 0.8.1-1
xfconf 4.12.1-4
xfdesktop 4.12.4-1
xfpanel-switch 1.0.4-2
xfsprogs 4.15.1-1
xfwm4 4.12.4-1
xfwm4-themes 4.10.0-2
xine-lib 1.2.9-3
xkeyboard-config 2.23.1-2
xl2tpd 1.3.11-1
xmlsec 1.2.25-1
xmlto 0.0.28-2
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-1
xorg-server-common 1.19.6+13+gd0d1a694f-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.1-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xorgproto 2018.4-1
xplc 0.3.13-7
xsel 1.2.0.20160929-1
xterm 331-1
xvidcore 1.3.5-1
xz 5.2.3-1
yad 0.40.0-2
yajl 2.1.0-1
yaourt 1.9-1
youtube-dl 2018.04.03-1
youtube-viewer 1:3.3.3-2
yubico-c 1.13-4
yubico-c-client 2.15-3
yubikey-personalization 1.18.1-2
zd1211-firmware 1.5-1
zenity 3.28.0-1
zeromq 4.2.2-2
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.4.2-2
zsh-completions 0.27.0-1
zsh-dircolors-solarized-git r17.2d41598-1
zsh-syntax-highlighting 0.6.0-1
zstd 1.3.4-1
zvbi 0.2.35-1
